Unique_ID,Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St
/player/abu-jayed-410763,Test,12,20,8,28,7*,2.33,135,20.74,0,0,2,0,1,0
/player/abu-jayed-410763,ODI,2,-,-,-,-,-,-,-,-,-,-,-,0,0
/player/abu-jayed-410763,T20I,3,2,0,3,2,1.50,7,42.85,0,0,0,0,1,0
/player/abu-jayed-410763,FC,92,123,50,544,53*,7.45,1365,39.85,0,1,67,10,23,0
/player/abu-jayed-410763,List A,65,35,16,63,11*,3.31,120,52.50,0,0,6,1,11,0
/player/abu-jayed-410763,T20,77,19,14,49,10*,9.80,43,113.95,0,0,6,1,8,0
/player/afif-hossain-935995,ODI,7,7,2,146,45,29.20,127,114.96,0,0,10,3,4,0
/player/afif-hossain-935995,T20I,31,26,3,413,52,17.95,333,124.02,0,1,33,14,9,0
/player/afif-hossain-935995,FC,23,36,3,1090,142,33.03,1826,59.69,5,2,131,15,4,0
/player/afif-hossain-935995,List A,58,52,11,1330,97,32.43,1560,85.25,0,8,100,37,26,0
/player/afif-hossain-935995,T20,101,88,13,1705,76,22.73,1339,127.33,0,7,153,69,43,0
/player/ebadot-hossain-932355,Test,8,11,4,4,2,0.57,43,9.30,0,0,0,0,1,0
/player/ebadot-hossain-932355,FC,34,43,12,75,12*,2.41,267,28.08,0,0,8,2,8,0
/player/ebadot-hossain-932355,List A,11,7,3,14,6,3.50,21,66.66,0,0,1,0,0,0
/player/ebadot-hossain-932355,T20,38,12,9,25,9*,8.33,31,80.64,0,0,1,1,8,0
/player/hasan-mahmud-926629,ODI,3,1,0,1,1,1.00,5,20.00,0,0,0,0,0,0
/player/hasan-mahmud-926629,T20I,1,-,-,-,-,-,-,-,-,-,-,-,0,0
/player/hasan-mahmud-926629,FC,14,18,8,90,19,9.00,251,35.85,0,0,10,2,3,0
/player/hasan-mahmud-926629,List A,19,6,3,15,8,5.00,30,50.00,0,0,2,0,5,0
/player/hasan-mahmud-926629,T20,23,7,5,16,15*,8.00,16,100.00,0,0,3,0,3,0
/player/liton-das-536936,Test,25,42,1,1229,95,29.97,2105,58.38,0,9,158,5,46,4
/player/liton-das-536936,ODI,47,47,3,1335,176,30.34,1489,89.65,4,3,140,22,34,3
/player/liton-das-536936,T20I,41,40,1,751,61,19.25,585,128.37,0,4,71,27,20,1
/player/liton-das-536936,FC,72,122,8,5516,274,48.38,8322,66.28,15,27,701,56,109,12
/player/liton-das-536936,List A,124,122,6,4446,176,38.32,4839,91.87,11,19,489,84,87,30
/player/liton-das-536936,T20,127,122,6,2597,78*,22.38,2067,125.64,0,14,269,74,68,19
/player/mahedi-hasan-833087,ODI,3,3,0,24,14,8.00,33,72.72,0,0,1,2,0,0
/player/mahedi-hasan-833087,T20I,21,15,4,135,23,12.27,136,99.26,0,0,7,5,8,0
/player/mahedi-hasan-833087,FC,41,62,8,2367,177,43.83,3431,68.98,6,12,299,33,36,0
/player/mahedi-hasan-833087,List A,73,57,3,1011,103,18.72,1249,80.94,1,4,110,24,32,0
/player/mahedi-hasan-833087,T20,86,58,8,979,92,19.57,767,127.64,0,5,79,52,24,0
/player/mahmudullah-56025,Test,50,94,7,2914,150*,33.49,5456,53.40,5,16,338,24,38,1
/player/mahmudullah-56025,ODI,200,174,45,4469,128*,34.64,5800,77.05,3,25,337,70,69,0
/player/mahmudullah-56025,T20I,105,97,21,1861,64*,24.48,1552,119.90,0,6,143,59,41,0
/player/mahmudullah-56025,FC,114,204,20,6557,152,35.63,,,14,32,,,98,1
/player/mahmudullah-56025,List A,287,257,56,7286,130,36.24,,,7,42,,,112,0
/player/mahmudullah-56025,T20,259,237,49,4741,70*,25.21,3961,119.69,0,18,362,156,114,0
/player/mehidy-hasan-miraz-629063,Test,27,50,6,894,103,20.31,1742,51.32,1,3,96,11,21,0
/player/mehidy-hasan-miraz-629063,ODI,52,32,4,426,51,15.21,566,75.26,0,1,40,5,20,0
/player/mehidy-hasan-miraz-629063,T20I,13,11,2,94,19*,10.44,80,117.50,0,0,7,4,7,0
/player/mehidy-hasan-miraz-629063,FC,46,73,11,1600,103,25.80,2940,54.42,1,9,188,17,35,0
/player/mehidy-hasan-miraz-629063,List A,101,74,9,1221,52,18.78,1542,79.18,0,5,87,25,37,0
/player/mehidy-hasan-miraz-629063,T20,86,71,12,913,87*,15.47,819,111.47,0,4,86,28,35,0
/player/mohammad-mithun-269237,Test,10,18,0,333,67,18.50,752,44.28,0,2,32,3,6,0
/player/mohammad-mithun-269237,ODI,34,30,4,714,73*,27.46,921,77.52,0,6,61,16,7,0
/player/mohammad-mithun-269237,T20I,17,13,1,127,47,10.58,136,93.38,0,0,10,4,4,0
/player/mohammad-mithun-269237,FC,104,166,6,5411,186,33.81,,,12,28,,,142,20
/player/mohammad-mithun-269237,List A,157,147,14,4458,100,33.51,5236,85.14,1,34,414,115,93,28
/player/mohammad-mithun-269237,T20,153,134,21,2659,84*,23.53,2237,118.86,0,14,177,103,51,16
/player/mohammad-naim-990081,ODI,2,1,0,1,1,1.00,2,50.00,0,0,0,0,2,0
/player/mohammad-naim-990081,T20I,24,24,1,634,81,27.56,590,107.45,0,3,59,15,11,0
/player/mohammad-naim-990081,FC,6,11,0,183,65,16.63,416,43.99,0,1,20,1,2,0
/player/mohammad-naim-990081,List A,43,42,1,1822,136,44.43,2043,89.18,4,12,196,35,21,0
/player/mohammad-naim-990081,T20,69,67,6,1718,105,28.16,1507,114.00,1,6,150,60,30,0
/player/mohammad-saifuddin-629070,ODI,29,19,9,362,51*,36.20,422,85.78,0,2,29,6,4,0
/player/mohammad-saifuddin-629070,T20I,28,17,6,196,39*,17.81,170,115.29,0,0,16,7,7,0
