Unique_ID,Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
/player/abu-jayed-410763,Test,12,16,1868,1054,30,4/71,6/130,35.13,3.38,62.20,3,0,0
/player/abu-jayed-410763,ODI,2,2,108,114,5,5/58,5/58,22.80,6.33,21.60,0,1,0
/player/abu-jayed-410763,T20I,3,3,66,106,4,2/27,2/27,26.50,9.63,16.50,0,0,0
/player/abu-jayed-410763,FC,92,151,13524,7897,264,6/25,9/43,29.91,3.50,51.20,12,12,0
/player/abu-jayed-410763,List A,65,64,2676,2454,79,5/58,5/58,31.06,5.50,33.80,3,1,0
/player/abu-jayed-410763,T20,77,74,1348,1820,78,4/35,4/35,23.33,8.10,17.20,1,0,0
/player/afif-hossain-935995,ODI,7,2,18,23,1,1/12,1/12,23.00,7.66,18.00,0,0,0
/player/afif-hossain-935995,T20I,31,11,114,149,7,2/9,2/9,21.28,7.84,16.20,0,0,0
/player/afif-hossain-935995,FC,23,33,1535,979,19,7/66,7/66,51.52,3.82,80.70,0,1,0
/player/afif-hossain-935995,List A,58,40,1213,1056,24,5/32,5/32,44.00,5.22,50.50,0,1,0
/player/afif-hossain-935995,T20,101,51,546,789,28,5/21,5/21,28.17,8.67,19.50,0,1,0
/player/ebadot-hossain-932355,Test,8,10,1170,732,8,3/91,3/91,91.50,3.75,146.20,0,0,0
/player/ebadot-hossain-932355,FC,34,54,5386,3009,90,6/51,10/139,33.43,3.35,59.80,3,2,1
/player/ebadot-hossain-932355,List A,11,11,490,466,10,2/26,2/26,46.60,5.70,49.00,0,0,0
/player/ebadot-hossain-932355,T20,38,38,807,1056,36,4/17,4/17,29.33,7.85,22.40,1,0,0
/player/hasan-mahmud-926629,ODI,3,3,116,131,5,3/28,3/28,26.20,6.77,23.20,0,0,0
/player/hasan-mahmud-926629,T20I,1,1,24,25,0,-,-,-,6.25,-,0,0,0
/player/hasan-mahmud-926629,FC,14,24,2336,1255,37,4/35,5/89,33.91,3.22,63.10,2,0,0
/player/hasan-mahmud-926629,List A,19,19,945,822,25,3/24,3/24,32.88,5.21,37.80,0,0,0
/player/hasan-mahmud-926629,T20,23,23,469,640,21,4/32,4/32,30.47,8.18,22.30,1,0,0
/player/liton-das-536936,Test,25,-,-,-,-,-,-,-,-,-,-,-,-
/player/liton-das-536936,ODI,47,-,-,-,-,-,-,-,-,-,-,-,-
/player/liton-das-536936,T20I,41,-,-,-,-,-,-,-,-,-,-,-,-
/player/liton-das-536936,FC,72,-,-,-,-,-,-,-,-,-,-,-,-
/player/liton-das-536936,List A,124,-,-,-,-,-,-,-,-,-,-,-,-
/player/liton-das-536936,T20,127,-,-,-,-,-,-,-,-,-,-,-,-
/player/mahedi-hasan-833087,ODI,3,3,138,105,2,2/42,2/42,52.50,4.56,69.00,0,0,0
/player/mahedi-hasan-833087,T20I,21,21,420,469,20,3/19,3/19,23.45,6.70,21.00,0,0,0
